epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1173.85,1.90187,3.59141,1.30837,0.55541,0.37331,0.41628,0.33786,1.46123,2.44516,1.00665,0.000301397,0.000301397,0.000301397
2,2473.3,1.4604,2.17998,1.00361,0.46504,0.48837,0.49457,0.40437,1.29412,1.45704,0.93241,0.000564507,0.000564507,0.000564507
3,3670.6,1.32548,1.29745,0.94302,0.66951,0.53285,0.60587,0.5144,1.04864,0.98489,0.8781,0.00078762,0.00078762,0.00078762
4,4607.54,1.1752,0.98652,0.91392,0.64846,0.55339,0.61471,0.51472,0.9825,0.82703,0.85938,0.000729018,0.000729018,0.000729018
5,5563.52,1.11266,0.84654,0.89955,0.7995,0.59138,0.70499,0.5748,0.93093,0.72895,0.8573,0.000669024,0.000669024,0.000669024
6,6294.53,0.94498,0.75433,0.87127,0.7895,0.5884,0.69768,0.57875,0.84651,0.63062,0.8463,0.00060903,0.00060903,0.00060903
7,7118.51,0.84584,0.64943,0.85267,0.78791,0.60698,0.70949,0.60168,0.77951,0.57818,0.83415,0.000549036,0.000549036,0.000549036
8,8061.53,0.74395,0.58729,0.8409,0.80283,0.61494,0.71587,0.62666,0.67487,0.53171,0.82467,0.000489042,0.000489042,0.000489042
9,9060.24,0.7045,0.55314,0.83481,0.80294,0.61442,0.71727,0.62674,0.66308,0.50872,0.82294,0.000429048,0.000429048,0.000429048
10,10023.1,0.67111,0.527,0.83009,0.80423,0.62663,0.72234,0.62329,0.67985,0.49865,0.82149,0.000369054,0.000369054,0.000369054
11,10773.5,0.64235,0.50743,0.82657,0.80649,0.62319,0.72184,0.64355,0.58329,0.46599,0.81365,0.00030906,0.00030906,0.00030906
12,11547,0.59813,0.48838,0.82325,0.81141,0.62693,0.72603,0.64941,0.56205,0.45333,0.81226,0.000249066,0.000249066,0.000249066
13,12643.3,0.58617,0.47221,0.82064,0.81631,0.62479,0.72682,0.6544,0.5474,0.44168,0.80874,0.000189072,0.000189072,0.000189072
14,13556.3,0.57232,0.46734,0.81941,0.8118,0.62722,0.72676,0.65162,0.54876,0.42963,0.80868,0.000129078,0.000129078,0.000129078
15,14444.3,0.55691,0.45712,0.81843,0.81796,0.63789,0.73221,0.65744,0.54172,0.42849,0.80856,6.9084e-05,6.9084e-05,6.9084e-05
