epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10151.7,1.90747,3.26576,1.27408,0.45351,0.47612,0.48314,0.34532,1.6227,2.13741,1.01202,0.000300756,0.000300756,0.000300756
2,20424.8,1.48637,1.29162,0.99379,0.77822,0.57462,0.68829,0.51622,1.26797,0.82898,0.93396,0.000563908,0.000563908,0.000563908
3,30655.2,1.28738,0.81227,0.94975,0.78636,0.61391,0.70936,0.53813,1.14136,0.68766,0.91302,0.000787064,0.000787064,0.000787064
4,41000,1.13542,0.68421,0.91846,0.94154,0.64594,0.80833,0.63769,0.95061,0.625,0.87114,0.000729018,0.000729018,0.000729018
5,51309.3,0.98168,0.60053,0.88653,0.96118,0.72264,0.84815,0.68778,0.83341,0.52582,0.84656,0.000669024,0.000669024,0.000669024
6,57144.5,0.81983,0.55577,0.85347,0.95146,0.7825,0.87617,0.72204,0.76226,0.49619,0.83835,0.00060903,0.00060903,0.00060903
7,63005.3,0.71087,0.47816,0.8356,0.95276,0.79948,0.88664,0.73817,0.66856,0.44558,0.82474,0.000549036,0.000549036,0.000549036
8,68877.7,0.64128,0.44267,0.82445,0.96757,0.76042,0.86906,0.74335,0.6073,0.41728,0.81735,0.000489042,0.000489042,0.000489042
9,74759.5,0.60425,0.42381,0.82012,0.96802,0.73737,0.8589,0.73625,0.57026,0.40098,0.81187,0.000429048,0.000429048,0.000429048
10,80689.7,0.56579,0.40523,0.81402,0.97296,0.73003,0.85601,0.74793,0.54231,0.38881,0.8092,0.000369054,0.000369054,0.000369054
11,86578.3,0.53177,0.38906,0.81084,0.98225,0.79045,0.88934,0.7729,0.5281,0.37682,0.80756,0.00030906,0.00030906,0.00030906
12,92419.5,0.52097,0.38088,0.8097,0.97478,0.75042,0.86657,0.76512,0.51434,0.36819,0.80602,0.000249066,0.000249066,0.000249066
13,98294.9,0.50609,0.37388,0.80733,0.97534,0.80889,0.89556,0.80026,0.48499,0.35856,0.80379,0.000189072,0.000189072,0.000189072
14,104095,0.48116,0.36408,0.80615,0.98226,0.75861,0.8736,0.78305,0.48495,0.35766,0.80372,0.000129078,0.000129078,0.000129078
15,109913,0.4739,0.35853,0.80446,0.98013,0.79289,0.88988,0.80279,0.45996,0.34802,0.80165,6.9084e-05,6.9084e-05,6.9084e-05
